,content,sentiment
143,"@MHackem No Cecilia, lo que hacemos está muy lejos de ninguna aplicación práctica. No me arrogues méritos que no tengo",N
144,"@felipefskl No necesariamente. Quizá se necesita alguien que apueste a ganar mintiendo, por única vez, y haga lo que hay que hacer",NEU
145,@TipicaLoca lindas ! y son super mansas ! las fui apurando tocándole las patas traseras y se tomaron su tiempo ! no las apuras mucho...,P
146,"@golden254 @yapeze Jajaja! Sí, leí! Creo que por acá no los tendremos hasta el 2018, por lo menos.",NONE
147,@Lpauletti Comprobado: Se puede estar en el fondo de un pozo...y seguir cavando la propia fosa. Y aun hay gte q definde,N
148,"@cuervotinelli miércoles, sábados y domingos son los peores días para mi TE EXTRAÑO !!",N
149,La negra Mel que se haga del Bolso tamos todos los compadres y ella de galli deja nos re gozariamos en la abdon negra,NEU
150,"@BrandonBouer aunque ya no hablemos,no me olvidé de tu cumpleaños #Felíces21 Bouer!!,espero que te la hayas pasado de lo mejor,saludos",P
151,Necesito ir a la peluquería pero no quiero ir a un que me deje el pelo horrible como la mayoría,N
152,"@quijanojor jjajajaja. Mi segundo amor es Rampla, el equipo de mi papá querido... Gte de barrio, obreros, flia.",P
153,@htgawmurphy no vi el nuevo cap y no lo voy a hacer hasta que digan que caleb está en al menoS UN CAP de la s2,N
154,"La supuesta federación de estudiantes que opina y toma postura en cuanto tema de izquierda hay, no dice nada del universitario Sendic",N
155,Tube que sacarle una tabla al ropero para que renzo ponga su ropa en mi lugar se pasa el pendejo,N
156,@Tocinitas @sessh0marusama gracias a las 2! mi amiga necesita lectores El fic (por si no se ve el link) está el link en mi tw fijado,P
157,Me tiene podrida no ver,N
158,"@cuervotinelli @demianchildemb1 Un solo corazón !!. Te amo Viejo :*, que descanses, me fui a dormir... Me gustaría soñar con vos",P
159,Recién grabado el Nuevo vídeo (Ahora a entrenar una horita y luego baño como algo y me pongo a editar) #BuenLunes Para TODOS #FelizLunes,P
160,@KesmanAlberto Sí increíble! Mi madre decía que eras tú y cuando dijeron que era Solé... Pensamos: es igual a Kesman!,NEU
161,@Adri_tranqui eso ! en no escuchar el despertador ! y te dormís nervioso ...con miedo...y peor es cuando te acostumbraste a dormir tarde,N
162,@ciudad_com @cuervotinelli  !! El más lindo de todos ...,P
163,@RoSo_54 te acordas de lo que decía el ñato al respecto ? pelea a muerte con novick !,NONE
164,98% de los circuitos escrutados en Colombia. 60% de abstencion. Gana el No. #PazParaColombia,P
165,"@psaccone @GGhelfa Es cierto, estimado. Pero el dcho de opinión lo tienen todos los hinchas de Peñarol, somos más de la mitad del país.",NEU
166,"@juamigcaz es muy responsable y profesional, pero además va muy bien con el estilo de tu club, tiene mucha garra. Un crack!",P
167,lo peor es que no voy a poder ver el cap de greys hasta que vuelva de clase,N
168,@DonVascolet Lo echan al toque jajajaa,N
169,Una Fiat Panorama del 78 encendida fuego al lado del cajero me dio una lastima solo quedo la chapa y el chasis y un poco el motor,N
170,Un amigo no para de mandar fotos de tremenda borrachera diurna en Melo y uno acá estudiando al moderado de Montesquieu. I'm suffering,N
171,@Nifunifa4 Yo no trabajo ningun feriado,P
172,@Sofiarayl feliz cumple sofi!! justo hoy no me toco ir al canal!! Que pases bomba!!! Beso grande!,P
173,¡Qué lindo escuchar que estás muy comprometida con tu trabajo @vivianagarcia73 ! Ojalá ganes muchos más proyectos freelance,P
174,Jajajaja mejor que no me la robes Igual vos empezaste!!,NEU
175,3:23 AM instalando todo en un celular de emergencia y a ser paciente porque es lentoooooo pero me salvo otra vez,NEU
176,Hoy quedo pronta la tapa. Y que dificil se hace aceptar tu ausencia... Viejito mio te extraño mucho,N
177,No tuviste infancia si no mezclaste todas las plastilinas con la esperanza de que quedara multicolor y te quedó una cosa marrón asquerosa,N
178,@cuervotinelli Podes hablar con el Gurca?? YO SOY PUNTUAL !!,NEU
179,quería meter siesta entre sesión y sesión de la confe pero ya casi aranca la segunda parte,N
180,"@abbu25 compre ""Hasta Borinquen"" por internet a ver si aprende un poquito y no dice bobadas!",N
181,@GermanDeJuana Bon jour German Buen día,P
182,"Increíble ellos @rafacotelo @diegodelacurva acá en Melo, unos grandes!!!! Voy a cholulear y pedir foto",P
183,"Uhhh, no me había dado cuenta de la hora tremenda que se hizo. Habrá que despedirse hasta mañana... o hasta algunas horas, je.",NEU
184,@shxwngold uy jajjaa bueno lo siento,NEU
185,@javierandresh amigo mio no se si es más complicado que te hable una piedra o alguien a quien el corazón se le hizo de piedra,N
186,Es tarde ya bendiciones mimosos,P
187,Anto te extraño veni a cuidarme,NEU
188,"@Jayah29 ah ta, me pareció por tu twett sobre el petiso que aparentemente no era lo bien dotado que esperabas",N
189,"@cuervotinelli Buen día P@!!, Excelente Jornada de Viernes, TE VEO HOY A LA NOCHE  !!",P
190,"@cuervotinelli @elchatoprada @hoppefede Buen Día !! , que tengan un excelente fin de semana y un buen descanso merecedor  !!",P
191,@felipellambias está claro que hay clientes que pagan agencias para hacer lo que quieren y no lo que corresponde. Queda camino x recorrer,N
192,"Levantarse muerta de sueño, sentarse en la orilla de la cama y quedarse mirando un zapato",NEU
193,"Hoy transité un rato largo. La frase que más escuché fue ""arrepentido... de haberlos votado"".",N
194,@leot1971 @topyman980 lo de nacional ! en este campeonato creo que no va a haber #PenalParaNacional ! no hubo arreglo,NONE
195,@Adri_tranqui yo estoy trabajando en frente de una ventana abierta...buee lo de trabajar trabajar voy y vengo,NEU
196,"@dosogas Buen dia mis amores, no fui al liceo(sisisiiis) ja tremenda bobita jaja LOS AMO",P
197,@FabianImaz es solo para estresar a @kzfabi @NETConfUY,N
198,Había alerta y yo vine igual,NONE
199,q ladilla que sigan usando las caritas  >.; y todas esas parece q tienen un retraso mas grande q no se,N
200,@joaqtor Hola Joaquín! Si buscás acceso a la API envianos un mail por MD y te contactamos con el equipo de tecnología. ¡Saludos!,NONE
201,Un mes entero moviendolo al mijo para no poder ir en el. pero bueno trabajo es trabajo,N
202,Que genial ir parada a minas,N
203,".@alefpiro ¿Nunca escuchaste la eresión ""el último orejón del tarro""? Bueno, como son más de uno son orejanos",N
204,"@Flor_pistone hola hermosa!,espero q estes bien yo me voy hacer noni q estoy cansado beso divinaaa",P
205,Me hacen quedar como un zorro lpm pero todas las minas que me nombran están re buenas matense,N
206,Que feo no hablarse mas con alguien y pasar todos los dias por la esquina de la casa,N
207,@migueldobrich gracias queridísimo ! Buenísimos la charla. La escuché esta tarde y sonreí mucho,P
208,"@CarolinaAche Decirle a una dama que espere sentada no es muy gentil, pero tu comentario rebosa ironía",N
209,@grazianopascale @Arq_fmartinez el nivel de delirio en los dirigentes es preocupante por decirlo sutilmente.,N
210,me quemé las dos nalgas jajja,N
211,"Bueno me fui a dormir que mañana tengo que pilotar la nave otra vez, saludos, que tengan una linda noche",P
212,Es el mejor sin duda alguna,P
213,@Adri_tranqui bajé el vidrio por que esta sucio del temporal pero era demasiado fuerte el sol y lo subí de nuevo y la saque así,NONE
214,A lo q tengo las uñas todas comidas me quedó re mal el esmalte,N
215,Mas feo que te quiebres,N
216,@kzfabi vivís de joda .. y siempre donde vas hay cerveza... no necesitamos ML ni IA para acertar eso ehh @FabianImaz @pp_uy,NEU
217,Espero que le haya ido lindo,P
218,@alefpiro ¿Te fijaste en el detalle de que los viáticos de la edila los usó para invitar a cenar a un par de amigas no edilas?,N
219,"@Aquicolobanco @Ropher_ ahhhh sí, ubico, muchas gracias, es q no tenía idea de cómo se llamaba esa zona. Acabo de aprender algo nuevo.",P
220,@veronicacriado gracias a vos por la buena onda y por sumarte hasta con GIFs a la iniciativa.,P
221,Seria tan feliz si se me va el dolor de cabeza de una vez,N
222,@ignacioalcuri acá en vez de meet n greet se podría hacer Meat n greet con un asado de por medio,NEU
223,@lilovilaplana Gracias por Compartir hermosas fotos,P
224,@mister__lemon L'Oreal fabrica tb productos para hombres. Pero el grito de indignación que habría si hubiera un premio sólo para hombres,N
225,@Anaterran @victorita_fest @Nifunifa4 el año pasado no dio muchos,NONE
226,@nunez_rodrigo @SushiPopARG Hola Rodrigo! Por favor envianos tu mail de usuario y te derivamos con el equipo de atención al cliente.,NONE
227,"Si me pagaran por fumar tendría la vida resuelta, pero desgraciadamente tengo q pagar para fumar",N
228,Yo no tengo familia soy buerfana,N
229,"@pbuydid Es muy importante q haya hombres tamb como tu caso, q se suman a la campaña contra la violencia.",P
230,@TipicaLoca se ve que hoy no es tu día...que termine rápido,N
231,@eZuajii_ tan al pedo estás para hacer esa mierda de inspeccionar elemento? Si tan real es andá a tu celular y pasa screenshot,N
232,Me pierdo la ultima fecha,N
233,en teatro es puro bardo ya toy perdida chicos aiuda,N
234,Extraño el ir a quedarme a su casa un día antes del campamento para irnos juntos!! Que tiempos!!,NEU
235,"@mister__lemon Taxistas, empleados del gobierno, familiares de Martínez y Dourado... @LeoVeigaSanchez",NONE
236,Me siento débil No rindo como hace DOS PUTAS SEMANAS. No puede ser la concha de mi madre. No puede ser.,N
237,.@LeoVeigaSanchez La opinión es contundente. Y no parece discriminar por partidos,NEU
238,"@BeeeluPereez no, porque te portas mal",N
239,@MariaFederica8 @M_Mandariin vamo a tomar un mate depresivos de merrda,N
240,"Es así, siempre que me gusta alguien vive en el culo del mundo jajajaja harto de fracasar",N
241,¿Quién es el peor de SA? Voten @Mquuro @xJuanDiz @ZockClient,NONE
242,porque no quiere llamada?  fav si sabes de quien hablo,NEU
243,"Todo el mundo me dice que soy re enana en los bailes, yo no entiendo, si estoy yendo con championes de plataforma",N
244,"@dannyviLe Si el propósito es erradicar las armas de la calle, el método es eficaz y eficiente. No sé si justo @dlarrauri",NEU
245,"@dannyviLe Una variante moderna sería que vale la pena hablar bien, así cuando puteás tiene mucho más efecto @mvdsister",NEU
246,@carinanovarese @danieldaners la derecha de este país duerme ! ya tienen que ir saliendo para ser observadores en esas elecciones !,N
247,@_anatabeira ya tengo eeriencia en desarmar ! pero este es el primero que no lo dejo desarmado...,NONE
248,"@josilopez_ @0hmyvolunteer ta voy a llorar, quiero más películas iremos a ver más de jen, pero no será lo mismo, no hay más thg",N
249,"@abbu25 jaja muy buena ! el tipo le dice al hijo q no está preparado y la gente lo votó como ""el"" candidato !",N
250,Tengo hambre de la tonelada de comida que cocina para mi mamá todos los fines de semana,P
251,"Nunca hablamos por privado, 1era vez que lo hacemos y es porque me mande la cagada del día.",N
252,Si se enoja bueno ya no corre mas esa de callarme lo que siento. Estoy re sincera y eso te duele,N
253,"ya se olvido de lo lindo q la pasabamos , manuel tenes que crecer vamoo q tenes casi 20 años no podes pensar en ella ya",N
254,"@dra_eutanasia es correcto. Muy bien vos, hay que seguir así! Habrá que meter un asadito!",P
255,@susanagkp @gracesusan1958 @maqui13 si es así esta perdonada !,P
256,"Simplemente tengo una lesión en el talón, pero tengo que hacer recuperación igual estoy bien",P
257,"@RufinaCamejo Si fuera mal pensado, diría que es un arreglo entre el pintor y ellos para cobrar más @CesarAMartinezR",N
258,"@cuervotinelli Buen día Papá !! , recién me levante...  QUE VERGÜENZA POR DIO!! Onda @charlotte_chc TREMENDO , me voy hacer un café...",N
259,El tiempo está conspirando para que yo no engorde! Es la segunda vez que se larga la lluvia cuando voy saliendo a comprarme bruto postre,NEU
260,@jpalummo hogares cómplices no es el mejor término. Sufren la Violencia en Silencio por Generaciones. No denuncian.la tienen naturaluzada,N
261,"Tengo una nueva mejor amiga y se llama mandala, me estaria alegrando el finde o casualidad el dia de la despedida de soltero",P
262,"@Claudiosk_23 aguanten las canas en los hombres, deja de negarte! lo de calvo si ta complicado... jajaja",NEU
263,@mechibasso Necesitar se necesita. Claro que hay gente que piensa estar por encima de esas minucias burguesas @Cybertario,N
264,Extraño mal a la enana vo lpm no se ni como esta,N
265,"@cuervotinelli Papá me llamas ?? 095327750 ... No me siento muy bien ahora , toy como triste...",N
266,"@alitamontevideo como estas Ali ,me parece de muy mal gusto ,te cuento algo hoy se inaugura en Paysandù una peatonal de una cuadra",N
267,"@santiagochirico ñery siempre fuiste uno de los uno , solo que vos no tenias la confianza para darte cuenta",P
268,"@guillevaldes Que lindo está @cuervotinelli hoy todo de Azul , alguna vez te dije que vos SOS La Madrastra Perfecta  bella mujer!!",P
